DATE,SITE_TYPE,SITE_NUMBER,SITE_ID,SPECIES_CODE,PERCENT_PLANT_IN_PLOT,CANOPY_DIA_1_CM,CANOPY_DIA_2_CM,PLANT_HT_CM,HT_TO_TALLEST_BUDSCAR_CM,GENUS
2018-06-14T00:00:00Z,WC,12,WC12,SAMO,5,130,80,120,115,willow
2018-06-13T00:00:00Z,WC,13,WC13,BEOC,5,315,250,340,320,nonwillow
2018-06-13T00:00:00Z,WC,13,WC13,DAFR,100,55,35,45,40,nonwillow
2018-06-13T00:00:00Z,WC,13,WC13,DAFR,100,50,30,55,55,nonwillow
2018-06-13T00:00:00Z,WC,13,WC13,DAFR,100,30,20,50,50,nonwillow
2018-06-13T00:00:00Z,WC,13,WC13,DAFR,100,30,20,50,45,nonwillow
2018-06-13T00:00:00Z,WC,13,WC13,DAFR,100,15,5,25,20,nonwillow
2018-06-13T00:00:00Z,WC,13,WC13,DAFR,95,50,15,40,35,nonwillow
2018-06-13T00:00:00Z,WC,13,WC13,DAFR,100,75,70,80,75,nonwillow
2018-06-13T00:00:00Z,WC,13,WC13,DAFR,100,30,15,60,55,nonwillow
2018-06-13T00:00:00Z,WC,13,WC13,DAFR,5,100,75,120,115,nonwillow
2018-06-13T00:00:00Z,WC,13,WC13,DAFR,100,130,70,100,95,nonwillow
2018-06-13T00:00:00Z,WC,13,WC13,DAFR,10,85,85,70,65,nonwillow
2018-06-13T00:00:00Z,WC,13,WC13,DAFR,50,70,45,60,55,nonwillow
2018-06-13T00:00:00Z,WC,13,WC13,DAFR,50,75,65,50,50,nonwillow
2018-06-13T00:00:00Z,WC,13,WC13,DAFR,95,75,50,65,60,nonwillow
2018-06-13T00:00:00Z,WC,13,WC13,DAFR,100,45,45,50,45,nonwillow
2018-06-13T00:00:00Z,WC,13,WC13,DAFR,100,50,25,40,40,nonwillow
2018-06-13T00:00:00Z,WC,13,WC13,DAFR,100,55,30,40,40,nonwillow
2018-06-13T00:00:00Z,WC,13,WC13,DAFR,100,100,70,55,50,nonwillow
2018-06-13T00:00:00Z,WC,13,WC13,SADR,100,35,30,100,100,willow
2018-06-13T00:00:00Z,WC,13,WC13,SAMO,25,160,115,200,185,willow
2018-06-13T00:00:00Z,WC,13,WC13,SAMO,100,130,100,120,110,willow
2018-06-13T00:00:00Z,WC,13,WC13,SAMO,90,95,45,130,125,willow
2018-06-13T00:00:00Z,WC,13,WC13,SAMO,100,10,10,30,15,willow
2018-06-13T00:00:00Z,WC,13,WC13,SAMO,100,10,10,35,25,willow
2018-06-13T00:00:00Z,WC,13,WC13,SAMO,75,100,45,100,90,willow
2018-06-13T00:00:00Z,WC,13,WC13,SAMO,100,90,45,110,105,willow
2018-06-13T00:00:00Z,WC,13,WC13,SAMO,100,20,10,40,25,willow
2018-06-13T00:00:00Z,WC,13,WC13,SAMO,100,25,15,45,35,willow
2018-06-13T00:00:00Z,WC,13,WC13,SAMO,100,40,15,65,50,willow
2018-06-13T00:00:00Z,WC,13,WC13,SAMO,100,65,35,90,85,willow
2018-06-13T00:00:00Z,WC,13,WC13,SAMO,100,30,25,75,60,willow
2018-06-13T00:00:00Z,WC,13,WC13,SAMO,100,40,25,75,70,willow
2018-06-13T00:00:00Z,WC,13,WC13,SAMO,40,60,50,75,70,willow
2018-06-13T00:00:00Z,WC,13,WC13,SAPL,95,155,65,100,80,willow
2018-06-13T00:00:00Z,WC,13,WC13,SAPL,100,145,120,120,110,willow
2018-06-19T00:00:00Z,WC,14,WC14,DAFR,100,10,5,35,30,nonwillow
2018-06-19T00:00:00Z,WC,14,WC14,SABE,100,35,10,45,30,willow
2018-06-19T00:00:00Z,WC,14,WC14,SABE,30,40,20,65,45,willow
2018-06-19T00:00:00Z,WC,14,WC14,SABE,100,60,20,65,60,willow
2018-06-19T00:00:00Z,WC,14,WC14,SABE,100,10,5,15,5,willow
2018-06-19T00:00:00Z,WC,14,WC14,SABE,100,45,20,55,40,willow
2018-06-19T00:00:00Z,WC,14,WC14,SADR,100,40,30,70,45,willow
2018-06-19T00:00:00Z,WC,14,WC14,SAGE,90,35,30,75,65,willow
